,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,product
1438,1,1,1,1,2,1,1,1,1,4,3,Leaf
1439,0,1,0,0,1,0,0,1,1,1,0,Leaf
1440,0,2,0,1,1,1,1,2,1,2,1,Leaf
1441,0,0,0,0,1,0,0,0,0,1,1,Leaf
1442,0,2,0,0,2,0,0,0,1,2,1,Leaf
1443,0,0,1,1,2,2,0,1,2,2,0,Leaf
1444,0,0,0,1,2,0,0,1,1,4,3,Leaf
1445,0,3,0,0,3,0,1,2,0,5,5,Leaf
1446,0,0,0,0,1,0,0,1,0,3,3,Leaf
1447,0,0,0,0,1,0,0,0,0,2,2,Leaf
1448,1,2,0,1,2,1,0,0,1,2,1,Leaf
1449,0,2,0,0,2,0,0,1,0,3,3,Leaf
1450,0,1,0,0,3,0,0,2,1,3,2,Leaf
1451,0,2,0,0,2,0,0,3,0,4,4,Leaf
1452,0,1,0,0,2,0,0,0,0,2,2,Leaf
1453,0,1,0,0,2,0,0,1,1,2,1,Leaf
1454,0,2,0,0,2,0,0,4,0,4,4,Leaf
1455,0,0,0,1,1,1,0,2,2,2,0,Leaf
1456,0,1,0,0,1,0,0,3,0,4,4,Leaf
1457,0,0,0,0,0,0,0,0,0,1,1,Leaf
1458,0,1,0,0,2,0,1,3,1,2,1,Leaf
1459,0,0,0,0,1,0,0,1,1,1,0,Leaf
1460,1,0,0,0,1,0,0,1,1,3,2,Leaf
1461,1,0,1,1,0,2,1,0,2,0,-2,Leaf
1462,0,1,0,0,1,0,0,1,1,2,1,Leaf
1463,0,0,0,0,2,0,0,1,0,3,3,Leaf
1464,0,0,0,0,0,0,0,0,0,0,0,Leaf
1465,0,2,0,0,1,0,1,1,0,1,1,Leaf
1466,0,0,0,0,1,0,0,0,0,1,1,Leaf
1467,1,0,1,1,0,2,0,0,3,1,-2,Leaf
1468,2,1,2,0,0,1,0,4,4,8,4,Leaf
1469,0,1,0,0,0,0,0,0,0,0,0,Leaf
1470,0,0,0,0,1,0,0,0,0,1,1,Leaf
1471,0,1,0,0,2,0,0,1,1,2,1,Leaf
1472,0,0,0,0,2,0,0,0,0,2,2,Leaf
1473,0,1,0,0,2,0,0,0,0,3,3,Leaf
1474,0,0,0,0,0,0,0,0,0,0,0,Leaf
1475,0,2,0,0,2,0,1,2,0,2,2,Leaf
1476,0,1,0,0,2,0,0,1,2,3,1,Leaf
1477,0,1,0,0,0,0,0,0,0,0,0,Leaf
1478,0,2,0,0,2,0,0,2,0,3,3,Leaf
1479,0,0,0,0,1,0,0,2,0,5,5,Leaf
1480,0,1,0,1,1,0,0,0,0,1,1,Leaf
1481,0,0,0,0,1,0,0,1,1,3,2,Leaf
1482,0,0,0,0,0,0,0,0,0,0,0,Leaf
1483,1,0,0,0,0,0,0,0,1,0,-1,Leaf
